network,classifier,auc,recall,specificity,acc,f1_macro,f1_micro,network_weights_name,optimizer,dropout,train_lr,train_epochs
efficientnetb5,multilayer perceptron,0.5590828924162258,0.0,1.0,0.5625,0.36,0.5625,A_tl_1a42f65a-3103-45e4-adeb-20287e62bf3f.hdf5,adam,0.2,1e-06,5
efficientnetb5,multilayer perceptron,0.4779541446208113,0.0,1.0,0.5625,0.36,0.5625,A_tl_d937b88b-a218-4107-93eb-181bb83cedd4.hdf5,adam,0.2,1e-06,5
